"","","","","","","","","","","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","","% of FG Ast'd","% of FG Ast'd","","Dunks","Dunks","","Corner 3s","Corner 3s","","Heaves","Heaves"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"277","Jonathan Kuminga","PF","20","GSW","67","1394",".525","10.7",NA,".706",".332",".280",".058",".036",".294",NA,".590",".673",".540",".483",".389",".370",NA,".643",".944",NA,".189","90",NA,".425",".419",NA,"0","0"
"278","Kyle Kuzma","PF","27","WAS","64","2239",".448","15.2",NA,".579",".186",".263",".082",".048",".421",NA,".533",".722",".487",".383",".309",".333",NA,".466",".781",NA,".036","38",NA,".243",".410",NA,"5","2"
"279","Anthony Lamb","SF","25","GSW","62","1195",".471","17.8",NA,".366",".150",".188",".006",".022",".634",NA,".652",".809",".576",".000",".429",".367",NA,".680",".986",NA,".045","13",NA,".342",".353",NA,"2","0"
"280","Jock Landale","C","27","PHO","69","979",".528","9.8",NA,".751",".377",".297",".053",".024",".249",NA,".621",".740",".530",".333",".500",".250",NA,".771","1.000",NA,".139","42",NA,".036",".333",NA,"1","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"281","Romeo Langford","SG","23","SAS","43","844",".467","10.1",NA,".764",".290",".351",".093",".031",".236",NA,".530",".680",".429",".458",".500",".262",NA,".543","1.000",NA,".054","13",NA,".541",".333",NA,"0","0"
"282","Jake LaRavia","PF","21","MEM","35","414",".389","20.1",NA,".253",".158",".084",".011",".000",".747",NA,".542",".533",".500","1.000","",".338",NA,".846","1.000",NA,".042","3",NA,".155",".455",NA,"1","0"
"283","Zach LaVine","SG","27","CHI","77","2768",".485","14.9",NA,".608",".284",".112",".067",".145",".392",NA,".556",".693",".442",".441",".428",".375",NA,".335",".647",NA,".042","56",NA,".138",".467",NA,"0","0"
"284","A.J. Lawson","SG","22","TOT","15","108",".500","14.7",NA,".432",".318",".114",".000",".000",".568",NA,".632",".714",".400","","",".400",NA,".500","1.000",NA,".136","5",NA,".560",".214",NA,"0","0"
"284","A.J. Lawson","SG","22","MIN","1","2","1.000","0.5",NA,"1.000","1.000",".000",".000",".000",".000",NA,"1.000","1.000","","","","",NA,"1.000","",NA,"1.000","1",NA,"","",NA,"0","0"
"284","A.J. Lawson","SG","22","DAL","14","106",".488","15.0",NA,".419",".302",".116",".000",".000",".581",NA,".611",".692",".400","","",".400",NA,".455","1.000",NA,".116","4",NA,".560",".214",NA,"0","0"
"285","Damion Lee","SG","30","PHO","74","1506",".442","17.5",NA,".454",".122",".144",".126",".062",".546",NA,".439",".600",".385",".456",".214",".445",NA,".700",".991",NA,".004","2",NA,".393",".495",NA,"1","0"
"286","Saben Lee","PG","23","TOT","25","373",".405","9.4",NA,".752",".430",".248",".025",".050",".248",NA,".418",".538",".233",".667",".167",".367",NA,".263",".818",NA,".050","3",NA,".300",".444",NA,"0","0"
"286","Saben Lee","PG","23","PHI","2","10",".750","6.9",NA,".750",".750",".000",".000",".000",".250",NA,"1.000","1.000","","","",".000",NA,".333","",NA,".250","1",NA,"1.000",".000",NA,"0","0"
"286","Saben Lee","PG","23","PHO","23","363",".393","9.5",NA,".752",".419",".256",".026",".051",".248",NA,".398",".510",".233",".667",".167",".379",NA,".257",".818",NA,".043","2",NA,".276",".500",NA,"0","0"
"287","Alex Len","C","29","SAC","26","161",".533","5.5",NA,".933",".633",".133",".100",".067",".067",NA,".571",".737",".000",".667",".000",".000",NA,".563","",NA,".200","6",NA,".000","",NA,"0","0"
"288","Kawhi Leonard","SF","31","LAC","52","1748",".512","14.9",NA,".713",".141",".178",".225",".169",".287",NA,".551",".724",".523",".531",".463",".416",NA,".333",".644",NA,".049","42",NA,".192",".521",NA,"2","0"
"289","Meyers Leonard","C","30","MIL","9","114",".483","17.7",NA,".379",".276",".069",".000",".034",".621",NA,".636",".625","1.000","",".000",".389",NA,".857","1.000",NA,".103","2",NA,".167",".000",NA,"0","0"
"290","Caris LeVert","SG","28","CLE","74","2237",".431","14.5",NA,".563",".235",".181",".115",".028",".437",NA,".462",".638",".373",".306",".238",".392",NA,".368",".701",NA,".042","29",NA,".228",".405",NA,"1","0"
"291","Kira Lewis Jr.","PG","21","NOP","25","235",".455","13.3",NA,".614",".227",".170",".080",".091",".386",NA,".463",".550",".400",".286",".625",".441",NA,".360",".867",NA,".011","0",NA,".176",".667",NA,"1","0"
"292","Damian Lillard","PG","32","POR","58","2107",".463","17.5",NA,".453",".231",".103",".049",".057",".547",NA,".574",".673",".452",".525",".493",".371",NA,".157",".500",NA,".012","10",NA,".058",".395",NA,"2","0"
"293","Nassir Little","SF","22","POR","54","976",".442","16.9",NA,".479",".185",".129",".059",".092",".521",NA,".524",".696",".333",".389",".500",".367",NA,".553",".931",NA,".050","12",NA,".139",".364",NA,"2","0"
"294","Isaiah Livers","PF","24","DET","52","1199",".417","20.0",NA,".295",".066",".073",".066",".076",".705",NA,".541",".842",".381",".368",".500",".365",NA,".609",".892",NA,".028","8",NA,".305",".435",NA,"2","0"
"295","Kenneth Lofton Jr.","PF","20","MEM","24","176",".527","9.6",NA,".817",".473",".108",".151",".086",".183",NA,".566",".795",".400",".214",".125",".353",NA,".535","1.000",NA,".054","5",NA,".176",".333",NA,"0","0"
"296","Kevon Looney","C","26","GSW","82","1958",".630","3.5",NA,".997",".557",".365",".044",".031",".003",NA,".632",".734",".521",".412",".417",".000",NA,".669","",NA,".177","68",NA,".000","",NA,"0","0"
"297","Brook Lopez","C","34","MIL","78","2373",".531","14.0",NA,".595",".281",".170",".108",".036",".405",NA,".637",".771",".569",".485",".375",".374",NA,".745",".971",NA,".087","71",NA,".198",".403",NA,"0","0"
"298","Robin Lopez","C","34","CLE","37","299",".640","6.6",NA,".947",".307",".587",".013",".040",".053",NA,".648",".826",".545","1.000",".667",".500",NA,".457","1.000",NA,".027","2",NA,".250","1.000",NA,"0","0"
"299","Kevin Love","PF","34","TOT","62","1240",".389","20.2",NA,".302",".106",".104",".052",".040",".698",NA,".516",".622",".500",".364",".471",".334",NA,".576",".939",NA,".012","2",NA,".149",".341",NA,"0","0"
"299","Kevin Love","PF","34","CLE","41","821",".389","20.2",NA,".316",".119",".084",".060",".053",".684",NA,".467",".588",".500",".235",".400",".354",NA,".548",".928",NA,".018","2",NA,".144",".429",NA,"0","0"
"299","Kevin Love","PF","34","MIA","21","419",".388","20.3",NA,".273",".079",".144",".036",".014",".727",NA,".632",".727",".500",".800","1.000",".297",NA,".625",".967",NA,".000","0",NA,".158",".188",NA,"0","0"
"300","Kyle Lowry","PG","36","MIA","55","1718",".404","19.4",NA,".361",".140",".093",".082",".045",".639",NA,".509",".588",".444",".475",".455",".345",NA,".292",".757",NA,".000","0",NA,".177",".455",NA,"1","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"301","Trey Lyles","PF","27","SAC","74","1247",".458","15.5",NA,".412",".270",".120",".007",".002",".588",NA,".595",".682",".388",".333",".000",".363",NA,".650",".977",NA,".083","28",NA,".346",".446",NA,"0","0"
"302","Théo Maledon","PG","21","CHO","44","854",".402","14.0",NA,".626",".217",".256",".134",".020",".374",NA,".465",".582",".354",".471",".600",".295",NA,".324",".821",NA,".000","0",NA,".074",".000",NA,"2","0"
"303","Sandro Mamukelashvili","C","23","TOT","43","660",".422","13.2",NA,".570",".335",".183",".043",".009",".430",NA,".511",".610",".429",".200",".000",".303",NA,".642","1.000",NA,".048","6",NA,".202",".350",NA,"0","0"
"303","Sandro Mamukelashvili","C","23","MIL","24","217",".328","15.6",NA,".448",".259",".155",".034",".000",".552",NA,".462",".600",".333",".000","",".219",NA,".667","1.000",NA,".121","3",NA,".250",".250",NA,"0","0"
"303","Sandro Mamukelashvili","C","23","SAS","19","443",".453","12.4",NA,".610",".360",".192",".047",".012",".390",NA,".524",".613",".455",".250",".000",".343",NA,".636","1.000",NA,".023","3",NA,".179",".417",NA,"0","0"
"304","Terance Mann","SG","26","LAC","81","1872",".519","12.5",NA,".622",".330",".191",".061",".040",".378",NA,".598",".769",".400",".375",".476",".389",NA,".554",".883",NA,".107","47",NA,".495",".337",NA,"2","1"
"305","Tre Mann","PG","21","OKC","67","1183",".393","17.2",NA,".487",".126",".204",".108",".050",".513",NA,".475",".667",".373",".407",".560",".315",NA,".267",".605",NA,".012","4",NA,".121",".452",NA,"2","0"
"306","Boban Marjanović","C","34","HOU","31","171",".683","4.9",NA,".983",".400",".483",".100",".000",".017",NA,".695",".833",".586",".667","",".000",NA,".561","",NA,".100","6",NA,".000","",NA,"0","0"
"307","Lauri Markkanen","PF","25","UTA","66","2273",".499","14.6",NA,".554",".213",".251",".053",".037",".446",NA,".585",".717",".505",".525",".452",".391",NA,".650",".935",NA,".112","111",NA,".184",".489",NA,"0","0"
"308","Naji Marshall","SF","25","NOP","77","1792",".433","13.2",NA,".618",".228",".291",".082",".012",".382",NA,".513",".662",".386",".532",".429",".303",NA,".530",".985",NA,".026","14",NA,".381",".325",NA,"6","0"
"309","Caleb Martin","SF","27","MIA","71","2077",".464","14.9",NA,".569",".235",".155",".049",".117",".431",NA,".545",".674",".424",".481",".469",".356",NA,".588",".833",NA,".051","21",NA,".407",".302",NA,"1","0"
"310","Cody Martin","SF","27","CHO","7","134",".389","13.3",NA,".611",".361",".083",".083",".083",".389",NA,".500",".615",".333",".333",".333",".214",NA,".545","1.000",NA,".083","2",NA,".429",".500",NA,"0","0"
"311","KJ Martin","SF","22","HOU","82","2292",".569","9.7",NA,".700",".417",".281",".003",".000",".300",NA,".679",".807",".490",".500","",".315",NA,".772","1.000",NA,".275","173",NA,".236",".353",NA,"0","0"
"312","Tyrese Martin","SG","23","ATL","16","66",".391","12.3",NA,".696",".261",".217",".130",".087",".304",NA,".500",".667",".400",".333",".500",".143",NA,".750","1.000",NA,".087","2",NA,".429",".000",NA,"0","0"
"313","Garrison Mathews","SG","26","TOT","54","686",".363","23.8",NA,".104",".045",".040",".010",".010",".896",NA,".476",".667",".250",".500",".500",".350",NA,".500",".952",NA,".010","2",NA,".228",".390",NA,"0","0"
"313","Garrison Mathews","SG","26","HOU","45","602",".353","24.1",NA,".088",".041",".035",".000",".012",".912",NA,".467",".571",".333","",".500",".342",NA,".429",".981",NA,".006","1",NA,".232",".389",NA,"0","0"
"313","Garrison Mathews","SG","26","ATL","9","84",".419","21.8",NA,".194",".065",".065",".065",".000",".806",NA,".500","1.000",".000",".500","",".400",NA,".667",".800",NA,".032","1",NA,".200",".400",NA,"0","0"
"314","Bennedict Mathurin","SG","20","IND","78","2222",".434","12.1",NA,".674",".286",".260",".075",".044",".326",NA,".488",".625",".397",".366",".333",".323",NA,".591",".740",NA,".035","28",NA,".194",".333",NA,"5","0"
"315","Wesley Matthews","SF","36","MIL","52","820",".363","21.0",NA,".225",".106",".056",".050",".013",".775",NA,".528",".706",".333",".500",".000",".315",NA,".842",".974",NA,".000","0",NA,".339",".238",NA,"0","0"
"316","Tyrese Maxey","SG","22","PHI","60","2016",".481","14.4",NA,".596",".222",".208",".101",".060",".404",NA,".513",".626",".447",".467",".400",".434",NA,".444",".688",NA,".014","13",NA,".195",".514",NA,"1","0"
"317","Skylar Mays","PG","25","POR","6","189",".500","14.9",NA,".618",".265",".088",".162",".103",".382",NA,".524",".611",".167",".636",".429",".462",NA,".227",".750",NA,".000","0",NA,".154",".250",NA,"0","0"
"318","Miles McBride","PG","22","NYK","64","760",".358","18.6",NA,".377",".153",".079",".079",".065",".623",NA,".457",".636",".294",".353",".357",".299",NA,".541",".875",NA,".028","4",NA,".373",".400",NA,"1","0"
"319","Mac McClung","SG","24","PHI","2","41",".450","15.3",NA,".450",".300",".100",".000",".050",".550",NA,".556",".667",".500","",".000",".364",NA,".600",".750",NA,".100","2",NA,".364",".250",NA,"0","0"
"320","CJ McCollum","PG","31","NOP","75","2649",".437","16.0",NA,".596",".108",".208",".148",".125",".404",NA,".469",".621",".443",".513",".327",".389",NA,".295",".754",NA,".004","3",NA,".107",".328",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"321","T.J. McConnell","PG","30","IND","75","1526",".543","8.5",NA,".887",".311",".361",".167",".035",".113",NA,".556",".642",".516",".483",".500",".441",NA,".233",".692",NA,".000","0",NA,".288",".588",NA,"0","0"
"322","Jaden McDaniels","SF","22","MIN","79","2416",".517","12.5",NA,".624",".288",".215",".088",".034",".376",NA,".588",".752",".461",".444",".375",".398",NA,".658",".991",NA,".115","72",NA,".506",".419",NA,"2","0"
"323","Jalen McDaniels","SF","25","TOT","80","1913",".455","12.3",NA,".624",".305",".207",".078",".016",".376",NA,".530",".649",".398",".396",".400",".332",NA,".549",".974",NA,".073","36",NA,".384",".337",NA,"0","0"
"323","Jalen McDaniels","SF","25","CHO","56","1494",".447","13.1",NA,".591",".298",".206",".071",".016",".409",NA,".534",".673",".392",".400",".375",".322",NA,".526",".969",NA,".073","29",NA,".376",".329",NA,"0","0"
"323","Jalen McDaniels","SF","25","PHI","24","419",".488","8.9",NA,".756",".333",".211",".106",".016",".244",NA,".516",".561",".423",".385",".500",".400",NA,".625","1.000",NA,".073","7",NA,".433",".385",NA,"0","0"
"324","Doug McDermott","SF","31","SAS","64","1314",".457","17.3",NA,".430",".176",".163",".054",".038",".570",NA,".516",".707",".412",".393",".250",".413",NA,".845",".984",NA,".027","14",NA,".198",".407",NA,"1","0"
"325","JaVale McGee","C","35","DAL","42","355",".640","4.0",NA,".960",".560",".368",".032",".000",".040",NA,".650",".814",".413",".500","",".400",NA,".808","1.000",NA,".296","34",NA,".000","",NA,"0","0"
"326","Bryce McGowens","SG","20","CHO","46","787",".396","13.0",NA,".604",".327",".193",".059",".025",".396",NA,".443",".576",".333",".250",".000",".325",NA,".648",".923",NA,".059","9",NA,".350",".357",NA,"1","0"
"327","Rodney McGruder","SG","31","DET","32","524",".408","18.1",NA,".362",".125",".158",".072",".007",".638",NA,".382",".737",".167",".273",".000",".423",NA,".667",".951",NA,".007","1",NA,".443",".372",NA,"0","0"
"328","Jordan McLaughlin","PG","26","MIN","43","678",".421","16.7",NA,".462",".166",".241",".034",".021",".538",NA,".552",".708",".457",".400",".667",".308",NA,".730",".833",NA,".000","0",NA,".295",".391",NA,"5","0"
"329","De'Anthony Melton","SG","24","PHI","77","2150",".425","17.8",NA,".381",".183",".131",".037",".026",".619",NA,".484",".622",".329",".292",".529",".390",NA,".467",".873",NA,".011","6",NA,".241",".371",NA,"2","0"
"330","Sam Merrill","SG","26","CLE","5","59",".409","22.3",NA,".182",".091",".045",".000",".045",".818",NA,"1.000","1.000","1.000","","1.000",".278",NA,"1.000","1.000",NA,".000","0",NA,".056",".000",NA,"0","0"
"331","Chimezie Metu","PF","25","SAC","66","689",".589","7.5",NA,".826",".466",".274",".055",".014",".174",NA,".663",".804",".483",".250",".667",".237",NA,".750","1.000",NA,".320","62",NA,".079",".000",NA,"0","0"
"332","Khris Middleton","SF","31","MIL","33","801",".436","16.4",NA,".601",".111",".180",".175",".135",".399",NA,".516",".644",".548",".423",".491",".315",NA,".333",".608",NA,".002","1",NA,".142",".391",NA,"0","0"
"333","Patty Mills","PG","34","BRK","40","567",".411","20.9",NA,".359",".062",".057",".077",".163",".641",NA,".493",".769",".500",".250",".500",".366",NA,".568",".857",NA,".000","0",NA,".254",".382",NA,"1","0"
"334","Shake Milton","SG","26","PHI","76","1567",".479","11.6",NA,".706",".296",".243",".119",".040",".294",NA,".521",".685",".393",".400",".500",".378",NA,".416",".839",NA,".008","4",NA,".250",".297",NA,"3","0"
"335","Justin Minaya","SF","23","POR","4","89",".304","16.4",NA,".478",".217",".087",".130",".043",".522",NA,".364",".600",".000",".333",".000",".250",NA,".500","1.000",NA,".000","0",NA,".250",".000",NA,"0","0"
"336","Josh Minott","SF","20","MIN","15","96",".500","6.6",NA,".833",".389",".417",".028",".000",".167",NA,".533",".714",".400",".000","",".333",NA,".750","1.000",NA,".278","10",NA,".500",".333",NA,"0","0"
"337","Davion Mitchell","PG","24","SAC","80","1447",".454","16.1",NA,".506",".208",".128",".055",".105",".494",NA,".584",".699",".569",".318",".500",".320",NA,".449",".825",NA,".005","1",NA,".193",".316",NA,"2","0"
"338","Donovan Mitchell","SG","26","CLE","68","2432",".484","16.0",NA,".547",".207",".148",".078",".098",".453",NA,".566",".700",".524",".486",".431",".386",NA,".258",".469",NA,".029","36",NA,".054",".382",NA,"6","0"
"339","Evan Mobley","PF","21","CLE","79","2715",".554","7.2",NA,".892",".404",".320",".122",".035",".108",NA,".595",".817",".409",".362",".455",".216",NA,".724",".955",NA,".237","214",NA,".392",".200",NA,"0","0"
"340","Isaiah Mobley","PF","23","CLE","12","84",".429","11.1",NA,".714",".286",".357",".036",".036",".286",NA,".450",".500",".400","1.000",".000",".375",NA,".444","1.000",NA,".036","1",NA,".125","1.000",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"341","Chima Moneke","SF","27","SAC","2","8",".500","2.2",NA,"1.000","1.000",".000",".000",".000",".000",NA,".500",".500","","","","",NA,"1.000","",NA,".000","0",NA,"","",NA,"0","0"
"342","Malik Monk","SG","24","SAC","77","1719",".448","15.7",NA,".500",".216",".183",".064",".034",".500",NA,".538",".698",".418",".333",".519",".359",NA,".523",".825",NA,".049","33",NA,".168",".433",NA,"2","0"
"343","Moses Moody","SG","20","GSW","63","817",".476","17.1",NA,".405",".225",".132",".031",".018",".595",NA,".641",".725",".500",".429","1.000",".363",NA,".695",".980",NA,".101","19",NA,".348",".340",NA,"1","0"
"344","Xavier Moon","SG","28","LAC","4","20",".333","18.1",NA,".667",".000",".111",".222",".333",".333",NA,".333","","1.000",".000",".333",".333",NA,".000","1.000",NA,".000","0",NA,".333",".000",NA,"0","0"
"345","Wendell Moore Jr.","SG","21","MIN","29","153",".419","11.8",NA,".605",".419",".116",".047",".023",".395",NA,".615",".778",".400",".000",".000",".118",NA,".438","1.000",NA,".000","0",NA,".412",".143",NA,"0","0"
"346","Ja Morant","PG","23","MEM","61","1948",".466","11.1",NA,".753",".289",".295",".144",".025",".247",NA,".519",".652",".419",".463",".467",".307",NA,".181",".533",NA,".058","55",NA,".100",".433",NA,"3","0"
"347","Marcus Morris","PF","33","LAC","65","1825",".426","18.2",NA,".521",".070",".118",".199",".134",".479",NA,".484",".711",".500",".414",".453",".364",NA,".414",".955",NA,".008","5",NA,".231",".310",NA,"2","0"
"348","Markieff Morris","PF","33","TOT","35","355",".409","19.7",NA,".383",".061",".087",".157",".078",".617",NA,".432",".571",".200",".556",".333",".394",NA,".737","1.000",NA,".009","1",NA,".310",".409",NA,"0","0"
"348","Markieff Morris","PF","33","BRK","27","285",".402","18.9",NA,".402",".073",".122",".159",".049",".598",NA,".394",".500",".200",".462",".500",".408",NA,".846","1.000",NA,".012","1",NA,".367",".444",NA,"0","0"
"348","Markieff Morris","PF","33","DAL","8","70",".424","21.8",NA,".333",".030",".000",".152",".152",".667",NA,".545","1.000","",".800",".200",".364",NA,".500","1.000",NA,".000","0",NA,".182",".250",NA,"0","0"
"349","Monte Morris","PG","27","WAS","62","1695",".480","16.2",NA,".604",".118",".210",".142",".134",".396",NA,".543",".754",".509",".493",".464",".382",NA,".290",".769",NA,".000","0",NA,".245",".400",NA,"1","0"
"350","Trey Murphy III","SF","22","NOP","79","2448",".484","17.7",NA,".379",".201",".129",".020",".026",".621",NA,".611",".758",".495",".188",".333",".406",NA,".659",".946",NA,".124","85",NA,".266",".424",NA,"1","0"
"351","Dejounte Murray","SG","26","ATL","74","2693",".464","14.3",NA,".707",".158",".155",".227",".158",".293",NA,".514",".697",".431",".455",".486",".344",NA,".192",".722",NA,".016","21",NA,".222",".442",NA,"0","0"
"352","Jamal Murray","PG","25","DEN","65","2133",".454","16.2",NA,".585",".144",".161",".134",".142",".415",NA,".494",".667",".440",".460",".399",".398",NA,".326",".587",NA,".018","17",NA,".120",".500",NA,"8","0"
"353","Keegan Murray","SF","22","SAC","80","2382",".453","17.8",NA,".359",".179",".106",".042",".027",".641",NA,".527",".671",".349",".455",".333",".411",NA,".689",".966",NA,".058","39",NA,".277",".439",NA,"0","0"
"354","Mike Muscala","C","31","TOT","63","945",".449","20.2",NA,".291",".092",".072",".082",".041",".709",NA,".588",".630",".667",".500",".500",".391",NA,".860",".975",NA,".021","5",NA,".232",".417",NA,"0","0"
"354","Mike Muscala","C","31","OKC","43","622",".438","20.7",NA,".300",".103",".049",".094",".054",".700",NA,".541",".667",".400",".526",".455",".394",NA,".879",".982",NA,".020","3",NA,".183",".385",NA,"0","0"
"354","Mike Muscala","C","31","BOS","20","323",".472","18.9",NA,".270",".067",".124",".056",".011",".730",NA,".708",".500",".909",".400","1.000",".385",NA,".824",".960",NA,".022","2",NA,".338",".455",NA,"0","0"
"355","Svi Mykhailiuk","SF","25","TOT","32","468",".445","17.2",NA,".428",".208",".104",".064",".052",".572",NA,".473",".667",".167",".455",".333",".424",NA,".543",".833",NA,".029","5",NA,".354",".429",NA,"0","0"
"355","Svi Mykhailiuk","SF","25","NYK","13","40",".500","22.0",NA,".167",".000",".167",".000",".000",".833",NA,".000","",".000","","",".600",NA,"","1.000",NA,".000","0",NA,".300",".667",NA,"0","0"
"355","Svi Mykhailiuk","SF","25","CHO","19","428",".441","16.8",NA,".447",".224",".099",".068",".056",".553",NA,".486",".667",".188",".455",".333",".404",NA,".543",".806",NA,".031","5",NA,".360",".406",NA,"0","0"
"356","Larry Nance Jr.","C","30","NOP","65","1381",".610","6.9",NA,".862",".482",".292",".059",".030",".138",NA,".654",".769",".551",".389",".333",".333",NA,".762","1.000",NA,".223","66",NA,".571",".417",NA,"0","0"
"357","Andrew Nembhard","SG","23","IND","75","2073",".441","15.3",NA,".592",".169",".182",".169",".068",".408",NA,".504",".716",".436",".376",".455",".350",NA,".406",".902",NA,".002","1",NA,".266",".357",NA,"0","0"
"358","Aaron Nesmith","SF","23","IND","73","1816",".427","15.5",NA,".468",".249",".136",".063",".020",".532",NA,".496",".639",".263",".486",".333",".366",NA,".701",".965",NA,".042","22",NA,".424",".383",NA,"0","0"
"359","Raul Neto","PG","30","CLE","48","505",".518","13.2",NA,".618",".345",".155",".082",".036",".382",NA,".662",".711",".471","1.000",".250",".286",NA,".444",".917",NA,".000","0",NA,".190",".625",NA,"1","0"
"360","Georges Niang","PF","29","PHI","78","1512",".442","20.7",NA,".235",".094",".112",".024",".004",".765",NA,".576",".681",".536",".333",".500",".401",NA,".735",".994",NA,".000","0",NA,".190",".534",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"361","Daishen Nix","PG","20","HOU","57","914",".342","17.4",NA,".409",".190",".194",".004",".021",".591",NA,".423",".489",".370","1.000",".200",".286",NA,".439",".825",NA,".013","2",NA,".150",".238",NA,"3","0"
"362","Zeke Nnaji","PF","22","DEN","53","728",".561","9.9",NA,".668",".520",".138",".000",".010",".332",NA,".710",".794",".407","",".500",".262",NA,".720","1.000",NA,".168","32",NA,".369",".250",NA,"2","0"
"363","Nerlens Noel","C","28","TOT","17","195",".361","9.8",NA,".944",".250",".250",".306",".139",".056",NA,".353",".444",".222",".364",".400",".500",NA,".833","1.000",NA,".028","0",NA,".000","",NA,"0","0"
"363","Nerlens Noel","C","28","DET","14","152",".400","10.1",NA,".933",".267",".200",".300",".167",".067",NA,".393",".500",".333",".333",".400",".500",NA,".818","1.000",NA,".033","0",NA,".000","",NA,"0","0"
"363","Nerlens Noel","C","28","BRK","3","43",".167","8.1",NA,"1.000",".167",".500",".333",".000",".000",NA,".167",".000",".000",".500","","",NA,"1.000","",NA,".000","0",NA,"","",NA,"0","0"
"364","Jaylen Nowell","SG","23","MIN","65","1252",".448","13.5",NA,".629",".251",".213",".134",".030",".371",NA,".542",".662",".429",".536",".368",".289",NA,".469",".716",NA,".024","11",NA,".155",".222",NA,"4","0"
"365","Frank Ntilikina","SG","24","DAL","47","607",".364","16.9",NA,".492",".144",".159",".091",".098",".508",NA,".477",".579",".238",".417",".769",".254",NA,".581",".941",NA,".000","0",NA,".343",".130",NA,"1","0"
"366","Kendrick Nunn","SG","27","TOT","70","964",".424","17.0",NA,".504",".127",".180",".127",".071",".496",NA,".493",".667",".395",".474",".469",".354",NA,".366",".696",NA,".022","8",NA,".229",".333",NA,"1","0"
"366","Kendrick Nunn","SG","27","LAL","39","528",".406","16.8",NA,".498",".131",".179",".120",".068",".502",NA,".488",".667",".444",".400",".412",".325",NA,".459",".756",NA,".020","4",NA,".214",".333",NA,"0","0"
"366","Kendrick Nunn","SG","27","WAS","31","436",".447","17.2",NA,".513",".121",".181",".136",".075",".487",NA,".500",".667",".333",".556",".533",".392",NA,".255",".632",NA,".025","4",NA,".247",".333",NA,"1","0"
"367","Jusuf Nurkić","C","28","POR","52","1391",".519","8.6",NA,".764",".451",".279",".018",".016",".236",NA,".567",".645",".447",".556",".500",".361",NA,".594","1.000",NA,".044","21",NA,".126",".333",NA,"0","0"
"368","Jordan Nwora","SF","24","TOT","62","1188",".436","15.2",NA,".526",".227",".142",".074",".067",".474",NA,".462",".574",".413",".364",".233",".408",NA,".546",".907",NA,".040","15",NA,".280",".390",NA,"0","0"
"368","Jordan Nwora","SF","24","MIL","38","597",".386","17.0",NA,".482",".193",".127",".066",".096",".518",NA,".379",".526",".400",".154",".211",".392",NA,".556","1.000",NA,".015","3",NA,".235",".333",NA,"0","0"
"368","Jordan Nwora","SF","24","IND","24","591",".476","13.7",NA,".560",".254",".153",".081",".044",".440",NA,".518",".603",".421",".500",".273",".422",NA,".542",".826",NA,".060","12",NA,".321",".429",NA,"0","0"
"369","Royce O'Neale","SF","29","BRK","76","2409",".386","19.6",NA,".293",".155",".118",".015",".005",".707",NA,".379",".489",".271",".222",".000",".389",NA,".394",".975",NA,".010","5",NA,".150",".349",NA,"3","0"
"370","Chuma Okeke","SF","24","ORL","27","518",".352","19.6",NA,".295",".164",".057",".049",".025",".705",NA,".472",".700",".143",".167",".333",".302",NA,".588",".923",NA,".049","4",NA,".198",".471",NA,"0","0"
"371","Josh Okogie","SG","24","PHO","72","1350",".391","14.4",NA,".524",".280",".155",".051",".039",".476",NA,".442",".560",".297",".286",".375",".335",NA,".448",".939",NA,".087","25",NA,".462",".319",NA,"0","0"
